frequency_thz,phdos_modes_per_thz
-0.40000000,0.0000001225
-0.38506158,0.0000002202
-0.37012315,0.0000003871
-0.35518473,0.0000006655
-0.34024631,0.0000011188
-0.32530789,0.0000018392
-0.31036946,0.0000029569
-0.29543104,0.0000046489
-0.28049262,0.0000071477
-0.26555419,0.0000107472
-0.25061577,0.0000158027
-0.23567735,0.0000227236
-0.22073893,0.0000319544
-0.20580050,0.0000439434
-0.19086208,0.0000590969
-0.17592366,0.0000777220
-0.16098523,0.0001000580
-0.14604681,0.0001259040
-0.13110839,0.0001551718
-0.11616997,0.0001869506
-0.10123154,0.0002204353
-0.08629312,0.0002546536
-0.07135470,0.0002880818
-0.05641627,0.0003195585
-0.04147785,0.0003480121
-0.02653943,0.0003727554
-0.01160101,0.0003936688
0.00333742,0.0004114394
0.01827584,0.0004274448
0.03321426,0.0004438323
0.04815269,0.0004635887
0.06309111,0.0004901685
0.07802953,0.0005275116
0.09296795,0.0005791339
0.10790638,0.0006479817
0.12284480,0.0007367905
0.13778322,0.0008463421
0.15272165,0.0009768928
0.16766007,0.0011265488
0.18259849,0.0012927624
0.19753691,0.0014716349
0.21247534,0.0016588163
0.22741376,0.0018505582
0.24235218,0.0020429480
0.25729061,0.0022333463
0.27222903,0.0024212097
0.28716745,0.0026082751
0.30210587,0.0027978041
0.31704430,0.0029953658
0.33198272,0.0032077530
0.34692114,0.0034430398
0.36185957,0.0037092687
0.37679799,0.0040140065
0.39173641,0.0043634744
0.40667483,0.0047631314
0.42161326,0.0052156673
0.43655168,0.0057217659
0.45149010,0.0062801809
0.46642853,0.0068875290
0.48136695,0.0075384547
0.49630537,0.0082259690
0.51124379,0.0089407540
0.52618222,0.0096728449
0.54112064,0.0104107923
0.55605906,0.0111425074
0.57099749,0.0118560969
0.58593591,0.0125415471
0.60087433,0.0131906503
0.61581275,0.0137989760
0.63075118,0.0143665335
0.64568960,0.0148970535
0.66062802,0.0153999030
0.67556645,0.0158870586
0.69050487,0.0163737192
0.70544329,0.0168748783
0.72038171,0.0174027001
0.73532014,0.0179662671
0.75025856,0.0185702996
0.76519698,0.0192148040
0.78013541,0.0198951554
0.79507383,0.0206043974
0.81001225,0.0213357963
0.82495067,0.0220833084
0.83988910,0.0228459821
0.85482752,0.0236248560
0.86976594,0.0244277685
0.88470437,0.0252647845
0.89964279,0.0261483849
0.91458121,0.0270897224
0.92951963,0.0280968106
0.94445806,0.0291717404
0.95939648,0.0303110948
0.97433490,0.0315050189
0.98927333,0.0327392473
1.00421175,0.0339968182
1.01915017,0.0352613986
1.03408859,0.0365180019
1.04902702,0.0377588720
1.06396544,0.0389820120
1.07890386,0.0401932602
1.09384229,0.0414018056
1.10878071,0.0426212403
1.12371913,0.0438654131
1.13865755,0.0451454744
1.15359598,0.0464688678
1.16853440,0.0478371943
1.18347282,0.0492435589
1.19841125,0.0506783480
1.21334967,0.0521282104
1.22828809,0.0535818264
1.24322651,0.0550283829
1.25816494,0.0564644283
1.27310336,0.0578910666
