q_index,q_path_length,branch_1_thz,branch_2_thz,branch_3_thz,branch_4_thz,branch_5_thz,branch_6_thz,branch_7_thz,branch_8_thz,branch_9_thz,branch_10_thz,branch_11_thz,branch_12_thz
1,0.00000000,0.00000000,0.00000000,0.00000000,5.76230400,5.76230400,9.51652500,9.72363700,9.72363700,10.84272600,11.08324800,15.97705300,17.06330200
2,0.00508500,0.13131600,0.24032100,0.27186800,5.75951900,5.76116900,9.45145300,9.72620800,9.79048500,10.84228900,11.08155400,15.97386900,17.06114900
3,0.01016900,0.26252500,0.48028200,0.54342000,5.75123200,5.75776900,9.33621000,9.73386700,9.91105300,10.84098900,11.07648200,15.96432800,17.05469300
4,0.01525400,0.39352000,0.71952200,0.81434100,5.73764700,5.75211000,9.21348700,9.74644700,10.04264100,10.83886200,11.06805800,15.94846300,17.04394900
5,0.02033900,0.52419300,0.95767900,1.08431000,5.71909100,5.74420500,9.09043600,9.76368300,10.17808000,10.83596700,11.05633000,15.92632700,17.02893700
6,0.02542400,0.65444000,1.19438900,1.35300400,5.69600300,5.73407200,8.96904500,9.78521900,10.31535900,10.83238900,11.04136200,15.89799500,17.00968800
7,0.03050800,0.78415500,1.42928200,1.62009100,5.66891800,5.72173300,8.85018000,9.81062700,10.45358300,10.82823600,11.02323900,15.86356000,16.98624200
8,0.03559300,0.91323600,1.66198800,1.88523300,5.63844600,5.70721300,8.73435300,9.83942600,10.59221000,10.82364300,11.00206600,15.82313400,16.95864500
9,0.04067800,1.04158200,1.89212800,2.14808200,5.60525400,5.69054300,8.62192200,9.87109200,10.73084300,10.81877200,10.97796600,15.77684500,16.92695500
10,0.04576200,1.16909300,2.11932000,2.40827700,5.57004400,5.67175500,8.51316700,9.90508300,10.81380800,10.86916200,10.95109000,15.72483300,16.89123400
11,0.05084700,1.29567100,2.34317400,2.66544600,5.53354100,5.65088500,8.40831500,9.94084700,10.80896800,10.92160900,11.00689600,15.66725500,16.85155400
12,0.05593200,1.42122400,2.56329200,2.91920000,5.49647100,5.62797200,8.30755500,9.97783900,10.80448500,10.88972900,11.14381100,15.60427500,16.80799500
13,0.06101600,1.54565800,2.77926800,3.16913300,5.45955000,5.60305500,8.21104200,10.01552700,10.80058600,10.85572000,11.27970200,15.53606700,16.76064300
14,0.06610100,1.66888600,2.99068700,3.41482100,5.42347300,5.57617600,8.11890300,10.05340100,10.79718100,10.82022600,11.41439300,15.46281500,16.70959400
15,0.07118600,1.79082200,3.19712200,3.65582100,5.38889900,5.54737500,8.03123400,10.09098200,10.77987700,10.79825400,11.54773500,15.38470500,16.65494600
16,0.07627100,1.91138400,3.39813600,3.89166600,5.35644400,5.51669700,7.94810400,10.12781900,10.74156600,10.79758700,11.67960100,15.30193000,16.59680800
