frequency_thz,phdos_modes_per_thz
-0.40000000,0.0000001225
-0.39201728,0.0000001681
-0.38403456,0.0000002291
-0.37605184,0.0000003103
-0.36806912,0.0000004176
-0.36008640,0.0000005585
-0.35210368,0.0000007421
-0.34412096,0.0000009799
-0.33613824,0.0000012855
-0.32815552,0.0000016758
-0.32017280,0.0000021708
-0.31219008,0.0000027940
-0.30420736,0.0000035733
-0.29622464,0.0000045410
-0.28824192,0.0000057341
-0.28025920,0.0000071947
-0.27227648,0.0000089700
-0.26429376,0.0000111122
-0.25631104,0.0000136787
-0.24832832,0.0000167309
-0.24034560,0.0000203342
-0.23236288,0.0000245566
-0.22438017,0.0000294674
-0.21639745,0.0000351356
-0.20841473,0.0000416280
-0.20043201,0.0000490067
-0.19244929,0.0000573269
-0.18446657,0.0000666337
-0.17648385,0.0000769595
-0.16850113,0.0000883208
-0.16051841,0.0001007154
-0.15253569,0.0001141199
-0.14455297,0.0001284871
-0.13657025,0.0001437442
-0.12858753,0.0001597914
-0.12060481,0.0001765018
-0.11262209,0.0001937212
-0.10463937,0.0002112700
-0.09665665,0.0002289449
-0.08867393,0.0002465226
-0.08069121,0.0002637636
-0.07270849,0.0002804178
-0.06472577,0.0002962298
-0.05674305,0.0003109456
-0.04876033,0.0003243192
-0.04077761,0.0003361193
-0.03279489,0.0003461359
-0.02481217,0.0003541869
-0.01682945,0.0003601229
-0.00884673,0.0003638325
-0.00086401,0.0003652454
0.00711871,0.0003643347
0.01510143,0.0003611178
0.02308415,0.0003556556
0.03106687,0.0003486476
0.03904959,0.0003392654
0.04703231,0.0003281342
0.05501503,0.0003154818
0.06299775,0.0003015651
0.07098047,0.0002866647
0.07896319,0.0002710798
0.08694591,0.0002551232
0.09492863,0.0002391163
0.10291135,0.0002233859
0.11089407,0.0002082607
0.11887678,0.0001940688
0.12685950,0.0001811373
0.13484222,0.0001697908
0.14282494,0.0001603525
0.15080766,0.0001531447
0.15879038,0.0001484898
0.16677310,0.0001467119
0.17475582,0.0001481371
0.18273854,0.0001530941
0.19072126,0.0001619133
0.19870398,0.0001753805
0.20668670,0.0001930802
0.21466942,0.0002156727
0.22265214,0.0002439202
0.23063486,0.0002773965
0.23861758,0.0003167022
0.24660030,0.0003620780
0.25458302,0.0004137145
0.26256574,0.0004717404
0.27054846,0.0005362104
0.27853118,0.0006070943
0.28651390,0.0006842674
0.29449662,0.0007675033
0.30247934,0.0008564690
0.31046206,0.0009507243
0.31844478,0.0010497246
0.32642750,0.0011528280
0.33441022,0.0012593074
0.34239294,0.0013683656
0.35037566,0.0014791557
0.35835838,0.0015908034
0.36634110,0.0017024324
0.37432382,0.0018131907
0.38230654,0.0019222765
0.39028926,0.0020289630
0.39827198,0.0021326199
0.40625470,0.0022327311
0.41423742,0.0023288373
0.42222014,0.0024208365
0.43020286,0.0025085059
0.43818558,0.0025920719
0.44616830,0.0026712529
0.45415102,0.0027466656
0.46213373,0.0028196532
0.47011645,0.0028882032
0.47809917,0.0029541242
0.48608189,0.0030170713
0.49406461,0.0030775714
0.50204733,0.0031357926
0.51003005,0.0031918086
0.51801277,0.0032455899
0.52599549,0.0032970037
0.53397821,0.0033458242
0.54196093,0.0033917526
0.54994365,0.0034354257
0.55792637,0.0034749035
0.56590909,0.0035106174
0.57389181,0.0035431368
0.58187453,0.0035712153
0.58985725,0.0035955871
0.59783997,0.0036167008
0.60582269,0.0036353010
0.61380541,0.0036524600
0.62178813,0.0036695959
0.62977085,0.0036884772
0.63775357,0.0037112106
0.64573629,0.0037402115
0.65371901,0.0037781587
0.66170173,0.0038279310
0.66968445,0.0038925308
0.67766717,0.0039749938
0.68564989,0.0040791053
0.69363261,0.0042063386
0.70161533,0.0043598243
0.70959805,0.0045417235
0.71758077,0.0047537162
0.72556349,0.0049969109
0.73354621,0.0052717680
0.74152893,0.0055780398
0.74951165,0.0059147309
0.75749437,0.0062800801
0.76547709,0.0066715649
0.77345981,0.0070859311
0.78144253,0.0075200864
0.78942525,0.0079684928
0.79740796,0.0084261302
0.80539068,0.0088878548
0.81337340,0.0093479881
0.82135612,0.0098007196
0.82933884,0.0102402463
0.83732156,0.0106612899
0.84530428,0.0110574654
0.85328700,0.0114250144
0.86126972,0.0117589720
0.86925244,0.0120555580
0.87723516,0.0123122119
0.88521788,0.0125258065
0.89320060,0.0126961753
0.90118332,0.0128211510
0.90916604,0.0129016297
0.91714876,0.0129386399
0.92513148,0.0129339793
0.93311420,0.0128909330
0.94109692,0.0128117563
0.94907964,0.0127001216
0.95706236,0.0125604876
0.96504508,0.0123981963
0.97302780,0.0122186116
0.98101052,0.0120243312
0.98899324,0.0118227048
0.99697596,0.0116173598
1.00495868,0.0114139858
1.01294140,0.0112171492
1.02092412,0.0110321517
1.02890684,0.0108629267
1.03688956,0.0107131770
1.04487228,0.0105872323
1.05285500,0.0104879267
1.06083772,0.0104181113
1.06882044,0.0103810044
1.07680316,0.0103774000
1.08478588,0.0104095409
1.09276860,0.0104787511
1.10075132,0.0105860147
1.10873404,0.0107319983
1.11671676,0.0109179398
1.12469948,0.0111432382
1.13268220,0.0114072137
1.14066491,0.0117100090
1.14864763,0.0120519408
1.15663035,0.0124306252
1.16461307,0.0128456378
1.17259579,0.0132965279
1.18057851,0.0137801132
1.18856123,0.0142950811
1.19654395,0.0148390923
1.20452667,0.0154101399
1.21250939,0.0160039144
1.22049211,0.0166173800
1.22847483,0.0172465443
1.23645755,0.0178869816
1.24444027,0.0185338552
1.25242299,0.0191818127
1.26040571,0.0198256646
1.26838843,0.0204594576
1.27637115,0.0210764840
1.28435387,0.0216743769
1.29233659,0.0222441321
1.30031931,0.0227822800
1.30830203,0.0232818328
1.31628475,0.0237397466
1.32426747,0.0241518726
1.33225019,0.0245147120
1.34023291,0.0248268537
1.34821563,0.0250873603
1.35619835,0.0252976069
1.36418107,0.0254561924
1.37216379,0.0255675551
1.38014651,0.0256364124
1.38812923,0.0256634036
1.39611195,0.0256546514
1.40409467,0.0256170717
1.41207739,0.0255562028
1.42006011,0.0254786533
1.42804283,0.0253912151
1.43602555,0.0253007027
1.44400827,0.0252141883
1.45199099,0.0251374735
1.45997371,0.0250769020
1.46795643,0.0250389182
1.47593915,0.0250272498
1.48392186,0.0250470482
1.49190458,0.0251022816
1.49988730,0.0251972829
1.50787002,0.0253337531
1.51585274,0.0255142412
1.52383546,0.0257422883
1.53181818,0.0260178896
1.53980090,0.0263402853
1.54778362,0.0267117751
1.55576634,0.0271305936
1.56374906,0.0275964215
1.57173178,0.0281076656
1.57971450,0.0286620298
1.58769722,0.0292564640
1.59567994,0.0298864781
1.60366266,0.0305488601
1.61164538,0.0312378716
1.61962810,0.0319463340
1.62761082,0.0326675049
1.63559354,0.0333936945
1.64357626,0.0341175300
1.65155898,0.0348305172
1.65954170,0.0355227054
1.66752442,0.0361859650
1.67550714,0.0368122650
1.68348986,0.0373970171
1.69147258,0.0379280927
1.69945530,0.0384031512
1.70743802,0.0388174421
1.71542074,0.0391682280
1.72340346,0.0394540425
1.73138618,0.0396752972
1.73936890,0.0398348374
1.74735162,0.0399365627
1.75533434,0.0399862732
1.76331706,0.0399869062
1.77129978,0.0399482342
1.77928250,0.0398774472
1.78726522,0.0397836658
1.79524794,0.0396776014
1.80323066,0.0395659395
1.81121338,0.0394604390
1.81919610,0.0393676493
1.82717881,0.0392932957
1.83516153,0.0392440674
1.84314425,0.0392261695
1.85112697,0.0392441700
1.85910969,0.0393016815
1.86709241,0.0394021512
1.87507513,0.0395463485
1.88305785,0.0397363171
1.89104057,0.0399738837
1.89902329,0.0402584415
1.90700601,0.0405907194
1.91498873,0.0409716754
1.92297145,0.0413991764
1.93095417,0.0418759590
1.93893689,0.0424008337
1.94691961,0.0429740321
1.95490233,0.0435975763
1.96288505,0.0442694790
1.97086777,0.0449912746
1.97885049,0.0457616070
1.98683321,0.0465787562
1.99481593,0.0474421962
2.00279865,0.0483515580
2.01078137,0.0492990452
2.01876409,0.0502809441
2.02674681,0.0512926038
2.03472953,0.0523280661
2.04271225,0.0533809643
2.05069497,0.0544410800
2.05867769,0.0555003144
2.06666041,0.0565500590
2.07464313,0.0575819125
2.08262585,0.0585863161
2.09060857,0.0595536313
2.09859129,0.0604754337
2.10657401,0.0613489611
2.11455673,0.0621628460
2.12253945,0.0629096975
2.13052217,0.0635893049
2.13850489,0.0641969526
2.14648761,0.0647311123
2.15447033,0.0651910884
2.16245305,0.0655765681
2.17043576,0.0658899886
2.17841848,0.0661356458
2.18640120,0.0663170398
2.19438392,0.0664379238
2.20236664,0.0665083518
2.21034936,0.0665339068
2.21833208,0.0665198705
2.22631480,0.0664760466
2.23429752,0.0664102749
2.24228024,0.0663318587
2.25026296,0.0662477050
2.25824568,0.0661692454
2.26622840,0.0661016989
2.27421112,0.0660557039
2.28219384,0.0660388410
2.29017656,0.0660582208
2.29815928,0.0661220921
2.30614200,0.0662354058
2.31412472,0.0664039066
2.32210744,0.0666349476
2.33009016,0.0669306966
2.33807288,0.0672955899
2.34605560,0.0677285799
2.35403832,0.0682313500
2.36202104,0.0688035085
2.37000376,0.0694420767
2.37798648,0.0701432920
2.38596920,0.0709014367
2.39395192,0.0717109546
2.40193464,0.0725651596
2.40991736,0.0734558081
2.41790008,0.0743751816
2.42588280,0.0753109818
2.43386552,0.0762554274
2.44184824,0.0771987519
2.44983096,0.0781362079
2.45781368,0.0790514944
2.46579640,0.0799417487
2.47377912,0.0808019799
2.48176184,0.0816237613
2.48974456,0.0824092200
2.49772728,0.0831486894
2.50570999,0.0838492512
2.51369271,0.0845094195
2.52167543,0.0851326759
2.52965815,0.0857232109
2.53764087,0.0862888152
2.54562359,0.0868363047
2.55360631,0.0873707655
2.56158903,0.0879011308
2.56957175,0.0884380942
2.57755447,0.0889893961
2.58553719,0.0895602909
2.59351991,0.0901568204
2.60150263,0.0907843179
2.60948535,0.0914464337
2.61746807,0.0921462816
2.62545079,0.0928872609
2.63343351,0.0936639454
2.64141623,0.0944819386
2.64939895,0.0953338368
2.65738167,0.0962158814
2.66536439,0.0971237551
2.67334711,0.0980499437
2.68132983,0.0989892862
2.68931255,0.0999362569
2.69729527,0.1008845290
2.70527799,0.1018269942
2.71326071,0.1027598074
2.72124343,0.1036771380
2.72922615,0.1045742810
2.73720887,0.1054491660
2.74519159,0.1062967768
2.75317431,0.1071200101
2.76115703,0.1079177194
2.76913975,0.1086907400
2.77712247,0.1094376615
2.78510519,0.1101635456
2.79308791,0.1108704013
2.80107063,0.1115609045
2.80905335,0.1122384464
2.81703607,0.1129069936
2.82501879,0.1135711710
2.83300151,0.1142374704
2.84098423,0.1149062111
2.84896694,0.1155792928
2.85694966,0.1162629155
2.86493238,0.1169597148
2.87291510,0.1176693474
2.88089782,0.1183951682
2.88888054,0.1191336397
2.89686326,0.1198938210
2.90484598,0.1206661200
2.91282870,0.1214547916
2.92081142,0.1222558101
2.92879414,0.1230690080
2.93677686,0.1238954695
2.94475958,0.1247319115
2.95274230,0.1255752311
2.96072502,0.1264239358
2.96870774,0.1272755558
2.97669046,0.1281327753
2.98467318,0.1289891646
2.99265590,0.1298422197
3.00063862,0.1306947613
3.00862134,0.1315419902
3.01660406,0.1323886023
3.02458678,0.1332300464
3.03256950,0.1340638942
3.04055222,0.1348900138
3.04853494,0.1357110989
3.05651766,0.1365232965
3.06450038,0.1373276104
3.07248310,0.1381216345
3.08046582,0.1389095596
3.08844854,0.1396863403
3.09643126,0.1404527427
3.10441398,0.1412115275
3.11239670,0.1419590920
3.12037942,0.1427000342
3.12836214,0.1434357537
3.13634486,0.1441652916
3.14432758,0.1448963074
3.15231030,0.1456300450
3.16029302,0.1463682352
3.16827574,0.1471232940
3.17625846,0.1478949307
3.18424118,0.1486931669
3.19222389,0.1495217438
3.20020661,0.1503894705
3.20818933,0.1513006730
3.21617205,0.1522658928
3.22415477,0.1532909434
3.23213749,0.1543778340
3.24012021,0.1555417744
3.24810293,0.1567770600
3.25608565,0.1580932596
3.26406837,0.1594894526
3.27205109,0.1609706834
3.28003381,0.1625337978
3.28801653,0.1641762170
3.29599925,0.1658943054
3.30398197,0.1676845605
3.31196469,0.1695361415
3.31994741,0.1714414532
3.32793013,0.1733912243
3.33591285,0.1753700605
3.34389557,0.1773664880
3.35187829,0.1793641140
3.35986101,0.1813465571
3.36784373,0.1833003418
3.37582645,0.1852068235
3.38380917,0.1870513514
3.39179189,0.1888226441
3.39977461,0.1905069184
3.40775733,0.1920902538
3.41574005,0.1935632376
3.42372277,0.1949201502
3.43170549,0.1961569498
3.43968821,0.1972690329
3.44767093,0.1982627320
3.45565365,0.1991419656
3.46363637,0.1999163091
3.47161909,0.2005977028
3.47960181,0.2011956942
3.48758453,0.2017275626
3.49556725,0.2022117458
3.50354997,0.2026647927
3.51153269,0.2031048972
3.51951541,0.2035557385
3.52749813,0.2040351690
3.53548084,0.2045636459
3.54346356,0.2051492974
3.55144628,0.2058162785
3.55942900,0.2065676318
3.56741172,0.2074156923
3.57539444,0.2083685558
3.58337716,0.2094232541
3.59135988,0.2105893815
3.59934260,0.2118648307
3.60732532,0.2132384542
3.61530804,0.2147084641
3.62329076,0.2162669640
3.63127348,0.2179058283
3.63925620,0.2196153190
3.64723892,0.2213843266
3.65522164,0.2232015787
3.66320436,0.2250591142
3.67118708,0.2269489263
3.67916980,0.2288613761
3.68715252,0.2307929714
3.69513524,0.2327374412
3.70311796,0.2346921720
3.71110068,0.2366451931
3.71908340,0.2386081138
3.72706612,0.2405756918
3.73504884,0.2425481463
3.74303156,0.2445309181
3.75101428,0.2465216641
3.75899700,0.2485233796
3.76697972,0.2505399494
3.77496244,0.2525718878
3.78294516,0.2546201868
3.79092788,0.2566809159
3.79891060,0.2587558962
3.80689332,0.2608452197
3.81487604,0.2629390990
3.82285876,0.2650446600
3.83084148,0.2671449813
3.83882420,0.2692480820
3.84680692,0.2713465666
3.85478964,0.2734346225
3.86277236,0.2755105762
3.87075508,0.2775695097
3.87873779,0.2796143457
3.88672051,0.2816457899
3.89470323,0.2836622578
3.90268595,0.2856650419
3.91066867,0.2876711282
3.91865139,0.2896762419
3.92663411,0.2916887385
3.93461683,0.2937161997
3.94259955,0.2957706518
3.95058227,0.2978574600
3.95856499,0.2999875859
3.96654771,0.3021698747
3.97453043,0.3044131960
3.98251315,0.3067211830
3.99049587,0.3090982647
3.99847859,0.3115508030
4.00646131,0.3140866289
4.01444403,0.3166974816
4.02242675,0.3193819750
4.03040947,0.3221421012
4.03839219,0.3249688766
4.04637491,0.3278640207
4.05435763,0.3308100861
4.06234035,0.3338095310
4.07032307,0.3368536274
4.07830579,0.3399303071
4.08628851,0.3430410226
4.09427123,0.3461731573
4.10225395,0.3493167813
4.11023667,0.3524762577
4.11821939,0.3556420671
4.12620211,0.3588215202
4.13418483,0.3620069815
4.14216755,0.3651893398
4.15015027,0.3683861124
4.15813299,0.3715881348
4.16611571,0.3748033373
4.17409843,0.3780364195
4.18208115,0.3813015973
4.19006387,0.3845985751
4.19804659,0.3879303693
4.20602931,0.3913144403
4.21401203,0.3947614450
4.22199474,0.3982758509
4.22997746,0.4018758223
4.23796018,0.4055688283
4.24594290,0.4093652757
4.25392562,0.4132799161
4.26190834,0.4173212952
4.26989106,0.4215081805
4.27787378,0.4258376868
4.28585650,0.4303172241
4.29383922,0.4349579044
4.30182194,0.4397626409
4.30980466,0.4447356502
4.31778738,0.4498709714
4.32577010,0.4551565106
4.33375282,0.4605910358
4.34173554,0.4661540166
4.34971826,0.4718319713
4.35770098,0.4776110941
4.36568370,0.4834690757
4.37366642,0.4893721624
4.38164914,0.4953009665
4.38963186,0.5012247674
4.39761458,0.5071151210
