q_index,q_path_length,branch_1_thz,branch_2_thz,branch_3_thz
1,0.00000000,-0.00000000,-0.00000000,0.00000000
2,0.00728900,0.25681300,0.25683600,0.34485000
3,0.01457700,0.51318700,0.51323300,0.68912300
4,0.02186600,0.76868400,0.76875400,1.03224700
5,0.02915400,1.02286900,1.02296400,1.37364800
6,0.03644300,1.27531000,1.27543000,1.71275800
7,0.04373100,1.52557700,1.52572300,2.04901300
8,0.05102000,1.77324700,1.77342000,2.38185400
9,0.05830800,2.01790300,2.01810400,2.71073100
10,0.06559700,2.25913400,2.25936500,3.03509800
11,0.07288600,2.49653800,2.49679900,3.35442300
12,0.08017400,2.72971900,2.73001200,3.66817900
13,0.08746300,2.95829300,2.95862000,3.97585400
14,0.09475100,3.18188500,3.18224800,4.27694500
15,0.10204000,3.40013200,3.40053000,4.57096300
16,0.10932800,3.61267900,3.61311500,4.85743100
17,0.11661700,3.81918700,3.81966200,5.13588900
18,0.12390500,4.01932600,4.01984200,5.40588900
19,0.13119400,4.21278200,4.21333900,5.66700000
20,0.13848300,4.39925200,4.39985100,5.91880700
21,0.14577100,4.57844700,4.57908800,6.16091200
22,0.15306000,4.75009300,4.75077700,6.39293300
23,0.16034800,4.91392800,4.91465500,6.61450700
24,0.16763700,5.06970500,5.07047500,6.82529000
25,0.17492500,5.21719400,5.21800600,7.02495200
26,0.18221400,5.35617500,5.35702900,7.21318800
27,0.18950200,5.48644500,5.48733900,7.38970700
28,0.19679100,5.60781600,5.60874900,7.55424000
29,0.20408000,5.72011200,5.72108300,7.70653600
30,0.21136800,5.82317500,5.82418100,7.84636400
31,0.21865700,5.91685800,5.91789700,7.97351400
32,0.22594500,6.00103000,6.00209900,8.08779400
33,0.23323400,6.07557300,6.07667000,8.18903200
34,0.24052200,6.14038400,6.14150600,8.27707900
35,0.24781100,6.19537500,6.19651800,8.35180100
36,0.25509900,6.24047000,6.24163000,8.41309000
37,0.26238800,6.27560800,6.27678100,8.46085300
38,0.26967700,6.30074000,6.30192300,8.49502000
39,0.27696500,6.31583300,6.31702200,8.51554000
40,0.28425400,6.32086600,6.32205800,8.52238400
41,0.28425400,6.32086600,6.32205800,8.52238400
42,0.28789800,6.32143200,6.32258500,8.52162300
43,0.29154200,6.32176400,6.32553300,8.51934200
44,0.29518600,6.32192200,6.33083000,8.51554300
45,0.29883100,6.32209600,6.33827200,8.51023000
46,0.30247500,6.32230600,6.34781700,8.50340700
47,0.30611900,6.32255600,6.35943400,8.49508200
48,0.30976400,6.32284500,6.37309100,8.48526300
49,0.31340800,6.32317300,6.38875000,8.47395900
50,0.31705200,6.32353800,6.40636900,8.46118200
51,0.32069600,6.32393700,6.42590200,8.44694400
52,0.32434100,6.32436800,6.44729900,8.43126000
53,0.32798500,6.32482800,6.47050300,8.41414600
54,0.33162900,6.32531500,6.49545600,8.39561900
55,0.33527300,6.32582400,6.52209600,8.37569800
56,0.33891800,6.32635400,6.55035600,8.35440400
57,0.34256200,6.32689900,6.58016700,8.33175900
58,0.34620600,6.32745800,6.61145800,8.30778600
59,0.34985100,6.32802600,6.64415600,8.28251200
60,0.35349500,6.32860000,6.67818300,8.25596300
61,0.35713900,6.32917600,6.71346300,8.22816800
62,0.36078300,6.32974900,6.74991600,8.19915800
63,0.36442800,6.33031800,6.78746300,8.16896500
64,0.36807200,6.33087700,6.82602200,8.13762300
65,0.37171600,6.33142400,6.86551200,8.10516700
66,0.37536100,6.33195400,6.90585000,8.07163500
67,0.37900500,6.33246400,6.94695600,8.03706700
68,0.38264900,6.33295200,6.98874600,8.00150300
